SL_No,Name,Latitude,Longitude
1,Garia More,22°27'56.6"N,88°22'40.7"E
2,Bansdroni,22°28'30.2"N,88°21'36.2"E
3,Netaji Nagar more,22°28'45.7"N,88°21'19.0"E
4,Ranikuthi,22°28'59.0"N,88°21'11.8"E
5,Malancha,22°29'12.8"N,88°21'03.5"E
6,Tollygunge Tram Depot,22°29'34.5"N,88°20'42.6"E
7,prince anwar shah,22°30'04.8"N,88°20'43.4"E
8,8B more,22°29'45.6"N,88°22'14.6"E
9,Baghajatin crossing,22°29'01.9"N,88°22'31.7"E
10,Jadavpur Thana Crossing,22°30'10.6"N,88°22'03.7"E
11,Lords more,22°30'07.0"N,88°21'28.3"E
12,Sulekha Crossing,22°29'29.0"N,88°22'20.6"E
13,45 Bus stand more,22°28'16.7"N, 88°22'38.5"E